iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
173,708608,-34.9797,50.0,0.0100,0.4733,-0.011042,9.036001,0.569640,0.017076,3099,228.6
174,712704,-36.8457,50.0,0.0100,0.4592,-0.007788,9.302472,0.548821,0.018167,3100,229.9
175,716800,-37.9816,50.0,0.0300,0.4845,-0.015464,11.528364,0.537270,0.016656,3100,231.2
176,720896,-37.9256,50.0,0.0100,0.4519,-0.010943,9.261964,0.515940,0.017885,3100,232.5
177,724992,-35.8119,50.0,0.0000,0.4776,-0.010154,9.990395,0.479395,0.016085,3100,233.8
178,729088,-35.2288,50.0,0.0300,0.4328,-0.015079,9.082963,0.444655,0.019562,3099,235.2
179,733184,-39.3474,50.0,0.0200,0.4670,-0.010479,9.210739,0.416220,0.020011,3099,236.5
180,737280,-33.6336,50.0,0.0000,0.4325,-0.011608,8.656499,0.382186,0.020587,3099,237.9
181,741376,-33.6582,50.0,0.0300,0.4179,-0.014058,7.210081,0.348034,0.015490,3098,239.3
182,745472,-35.5845,50.0,0.0200,0.4885,-0.013025,10.210138,0.299735,0.015435,3098,240.6
183,749568,-33.6565,50.0,0.0100,0.4383,-0.012554,7.895878,0.273860,0.017314,3098,241.9
184,753664,-33.8866,50.0,0.0100,0.4480,-0.012392,9.922484,0.275738,0.016714,3098,243.2
185,757760,-34.1863,50.0,0.0100,0.4062,-0.013278,7.811975,0.263929,0.015338,3098,244.5
186,761856,-32.2038,50.0,0.0100,0.4248,-0.010898,7.978667,0.233993,0.014275,3098,245.9
187,765952,-33.9083,50.0,0.0200,0.4174,-0.009887,7.156297,0.223989,0.014432,3099,247.1
188,770048,-35.9458,50.0,0.0200,0.4670,-0.011979,9.776428,0.224492,0.014891,3100,248.4
189,774144,-34.3657,50.0,0.0100,0.4569,-0.012796,7.798084,0.199780,0.014954,3100,249.7
190,778240,-33.0177,50.0,0.0000,0.4745,-0.010595,10.482895,0.180187,0.016385,3101,250.9
191,782336,-34.6764,50.0,0.0100,0.4347,-0.012344,8.051606,0.165280,0.012556,3102,252.2
192,786432,-36.2336,50.0,0.0200,0.4514,-0.013829,10.339006,0.140857,0.017200,3102,253.5
193,790528,-37.5684,50.0,0.0200,0.4249,-0.015215,7.181030,0.127597,0.016199,3103,254.7
194,794624,-34.7913,50.0,0.0200,0.4111,-0.009331,8.661666,0.117292,0.017016,3103,256.0
195,798720,-36.2872,50.0,0.0300,0.3985,-0.011499,8.287666,0.092457,0.017242,3104,257.3
196,802816,-33.3642,50.0,0.0200,0.4229,-0.012610,6.787983,0.077087,0.014464,3105,258.5
197,806912,-35.1552,50.0,0.0300,0.4462,-0.010260,7.959218,0.062012,0.015421,3105,259.8
198,811008,-35.3078,50.0,0.0100,0.4271,-0.013063,7.453363,0.043304,0.015983,3106,261.1
199,815104,-32.9024,50.0,0.0200,0.4021,-0.013157,8.523237,0.044388,0.013584,3107,262.3
